124 3
0.142413 3.10499 -268.611 
0.0102307 -3.56889 -2.67572 
-0.0262888 10.4966 1.06384 
-0.00518016 2.39419 -1.21868 
-0.000436666 0.315238 -0.599862 
0.00319464 -1.29291 -0.0532179 
0.0033413 -1.38511 0.0883017 
0.00190226 -0.970454 0.847509 
0.00366549 -1.82469 1.43461 
-0.000487443 -0.5145 3.12794 
-0.00318121 0.689377 2.67452 
0.00137553 -0.468016 -0.411599 
4.51921e-006 -0.00267155 0.00362069 
-0.000515714 0.0549057 0.682761 
0.000132121 0.0265459 -0.352925 
9.05422e-005 -0.10179 0.28404 
0.000498784 -0.0605348 -0.62778 
0.000433521 -0.0656377 -0.488547 
0.000375912 -0.0297125 -0.542863 
0.000506708 -0.120426 -0.379447 
-0.000155226 0.0135738 0.218443 
-0.000284871 0.079 0.163808 
-9.28305e-005 0.0434709 -0.0243193 
-0.000260155 0.0739336 0.141766 
0.000171957 -0.0549795 -0.0669202 
0.000199403 -0.0492006 -0.141387 
0.000198597 -0.0425564 -0.169071 
4.79964e-005 -0.0548361 0.154415 
0.000142303 -0.0277143 -0.133327 
8.93264e-005 -0.0171675 -0.0846965 
-0.00020307 0.0568172 0.114572 
-0.00018967 0.0608209 0.0730298 
1.11812e-005 0.0030117 -0.033221 
0.000123764 -0.0515985 0.00455766 
-8.62539e-005 0.0181424 0.0749231 
2.61264e-005 -0.0115276 0.00374746 
0.000149491 -0.041618 -0.0852565 
8.62315e-005 -0.0339988 -0.00537877 
-0.000109372 0.0233733 0.0933904 
-4.40017e-005 0.0199022 -0.00844649 
0.000119007 -0.0298545 -0.0822327 
0.000103644 -0.0309786 -0.0497979 
5.69882e-005 -0.0191859 -0.0179461 
-3.26448e-005 0.00431334 0.0395466 
3.67876e-005 -0.00896019 -0.0265962 
6.47322e-005 -0.0127983 -0.0598125 
-6.62776e-005 0.0202805 0.0297825 
1.9214e-005 -0.011953 0.0179879 
-2.20389e-005 -0.00860223 0.0771676 
-5.67146e-005 0.0133116 0.0432054 
-6.36159e-005 0.0181454 0.0343752 
0.00014177 -0.0237385 -0.1498 
9.68919e-006 -0.000138249 -0.0167433 
-1.19331e-005 0.00341497 0.00639764 
4.82302e-005 -0.0185952 -0.00485422 
-2.90088e-005 0.0169333 -0.0222796 
5.3417e-005 -0.00690759 -0.0653693 
-1.14186e-005 0.00885453 -0.0183647 
-8.09413e-006 -0.00462961 0.0347856 
-2.19708e-005 -0.000710502 0.0424536 
4.20395e-005 -0.0149131 -0.00990871 
4.30892e-005 0.00215087 -0.0865823 
3.62129e-005 -0.00684175 -0.0348545 
3.00571e-005 -0.00302124 -0.0405768 
-5.64051e-006 -0.00537359 0.0336539 
1.62986e-005 0.00402528 -0.0468262 
-6.0993e-006 4.39361e-006 0.0109018 
2.06202e-006 9.58384e-005 -0.00411246 
-5.75957e-005 0.0105149 0.0570413 
2.01495e-005 0.00608 -0.0627287 
-1.07675e-005 -0.0011145 0.0241645 
-2.65972e-006 -0.00464783 0.0251345 
-3.80356e-005 0.00856538 0.0305621 
1.1219e-005 -0.00831628 0.0163638 
0.000121357 -0.0235762 -0.11396 
-4.25113e-005 0.00493721 0.0544782 
-1.48572e-005 0.00421306 0.00813658 
1.2512e-005 -0.00507783 -0.000146662 
-1.13179e-005 0.00222848 0.0104977 
-2.08202e-005 0.00290953 0.0245265 
-3.69011e-005 0.00428808 0.0472784 
-1.60547e-005 0.00779467 -0.0054183 
3.40189e-005 -0.00778809 -0.0267769 
-6.98454e-006 0.00394296 -0.00477648 
2.00642e-005 -0.00159084 -0.0289538 
5.83256e-005 -0.0129462 -0.0476907 
-1.69274e-005 0.00392864 0.0130903 
1.49201e-005 -0.00448297 -0.00706629 
-3.76531e-006 0.00320384 -0.00730072 
2.96832e-005 -0.00677558 -0.0234514 
-1.05032e-005 0.00151543 0.0121646 
9.32725e-006 0.00326793 -0.0310246 
5.63276e-005 -0.00928229 -0.0601727 
4.47449e-006 0.000245565 -0.00908832 
-2.2773e-005 0.00331266 0.0262568 
2.52303e-005 -0.00436705 -0.026035 
-2.52681e-005 0.00823127 0.00916547 
1.22206e-006 0.00134837 -0.00809872 
-2.02445e-005 0.000912998 0.0322474 
-3.48597e-006 0.000910764 0.00225002 
-1.30527e-005 0.00157831 0.0164537 
3.07418e-005 -0.00811758 -0.0194643 
-9.18804e-006 0.00166049 0.00917367 
9.89057e-006 -0.00464502 0.00264994 
-1.93266e-005 0.00446193 0.0150483 
1.71344e-005 -0.00421534 -0.0122035 
-2.29914e-005 0.00638525 0.0131801 
-1.1832e-005 0.00425609 0.00253097 
-6.0473e-006 1.58519e-005 0.0107584 
3.69341e-005 -0.00683853 -0.0361589 
1.26024e-005 -0.00369412 -0.00637355 
-3.12834e-005 0.00727959 0.0241074 
-1.02748e-005 0.000258827 0.0172632 
-1.84225e-005 0.00364484 0.0170105 
-1.96234e-005 0.00406106 0.0173369 
-3.29829e-005 0.00715962 0.0276766 
-3.52648e-005 0.00739242 0.0307419 
3.54787e-005 -0.00846521 -0.0264231 
-1.50656e-005 -0.000859099 0.0307416 
-3.5639e-005 0.00396879 0.046418 
-1.92992e-005 0.00613109 0.00768314 
2.46939e-005 -0.00371864 -0.0279169 
-2.44721e-006 0.00104816 -0.000212107 
1.29167e-005 -0.00363194 -0.00720921 
